BuildingID, BuildingX, BuildingY, DoorID, DoorX, DoorY
Sport Center,276.550,-56.710,SGM Door 1,267.732,-64.548
FMAN,-87.300,-42.500,FMAN Door 1,-128.022,-85.397
FMAN,-87.300,-42.500,FMAN Door 2,-153.030,-14.869
FMAN,-87.300,-42.500,FMAN Door 3,-40.920,-10.438
FMAN,-87.300,-42.500,FMAN Door 4,-35.755,-26.845
CP,-47.900,516.300,CP Door 1,-71.775,480.800
FASS,-18.200,219.600,FASS Door 1,-57.648,157.320
FASS,-18.200,219.600,FASS Door 2,-64.592,180.326
FASS,-18.200,219.600,FASS Door 3,-79.702,230.407
FASS,-18.200,219.600,FASS Door 4,15.824,169.021
FENS,-156.100,181.000,FENS Door 1,-215.690,190.526
FENS,-156.100,181.000,FENS Door 2,-200.304,140.043
FENS,-156.100,181.000,FENS Door 3,-193.569,118.111
FENS,-156.100,181.000,FENS Door 4,-166.828,118.835
FENS,-156.100,181.000,FENS Door 5,-122.389,131.724
FENS,-156.100,181.000,FENS Door 6,-89.640,150.768
FENS,-156.100,181.000,FENS Door 7,-96.318,172.259
FENS,-156.100,181.000,FENS Door 8,-111.990,223.143
SUNUM,-191.200,355.700,SUNUM Door 1,-150.890,307.050
Tören,-159.200,-223.900,Tören Door 1,-193.667,-198.397
Yurt,-217.500,-31.900,UC Door 1,-180.535,-21.989
Yurt,-217.500,-31.900,UC Door 2,-171.823,-46.885
Yurt,-217.500,-31.900,UC Door 3,-220.663,-3.839
SGM,264.120,-67.430,SGM Door 1,260.848,-69.237
Kütüphane,50.900,-10.300,SL Door 1,-1.828,-18.792
Kütüphane,50.900,-10.300,SL Door 2,-7.429,-2.747
Kütüphane,50.900,-10.300,SL Door 3,107.773,-7.032
UM,-248.700,84.600,UC Door 1,-218.429,109.867
UM,-248.700,84.600,UC Door 2,-201.952,59.140
UM,-248.700,84.600,UC Door 3,-224.252,13.868
Rektörlük,187.200,-1.500,Rektörlük Door 1,142.824,2.786
Rektörlük,187.200,-1.500,Rektörlük Door 2,225.519,31.883
